id,full_object_name,column_name,data_type,max_length,precision_value,scale_value,is_nullable,description,is_key,schema_name,table_name,created_at
1,BRONZE_ERP__DBO.CUSTOMERS,CREATED_AT,timestamp_ntz,,,,1,The `created_at` column in the `customers` table stores the non-nullable timestamp indicating when a customer record was initially created.,,BRONZE_ERP__DBO,CUSTOMERS,2026-04-13 11:59:38
2,BRONZE_ERP__DBO.CUSTOMERS,CUSTOMER_ID,"number(38,0)",38,38,0,0,Unique identifier for each customer in the retail operations system.,Yes,BRONZE_ERP__DBO,CUSTOMERS,2026-04-13 11:59:38
3,BRONZE_ERP__DBO.CUSTOMERS,EMAIL,text(900),900,,,1,"Stores the email address of the customer, allowing null values, with a maximum length of 450 characters.",,BRONZE_ERP__DBO,CUSTOMERS,2026-04-13 11:59:38
4,BRONZE_ERP__DBO.CUSTOMERS,FIRST_NAME,text(256),256,,,1,"Stores the given name of a customer as a non-null, case-insensitive Unicode string.",,BRONZE_ERP__DBO,CUSTOMERS,2026-04-13 11:59:38
5,BRONZE_ERP__DBO.CUSTOMERS,LAST_NAME,text(256),256,,,1,"The ""last_name"" column in the ""customers"" table stores the non-nullable family name of a customer as a case-insensitive Unicode string.",,BRONZE_ERP__DBO,CUSTOMERS,2026-04-13 11:59:38
6,BRONZE_ERP__DBO.CUSTOMERS,PHONE,text(256),256,,,1,Stores the customer's phone number as a nullable text field for contact purposes.,,BRONZE_ERP__DBO,CUSTOMERS,2026-04-13 11:59:38
7,BRONZE_ERP__DBO.CUSTOMERS,UPDATED_AT,timestamp_ntz,,,,1,The `updated_at` column in the `customers` table stores the non-nullable timestamp of the most recent update to a customer's record.,,BRONZE_ERP__DBO,CUSTOMERS,2026-04-13 11:59:38
8,BRONZE_ERP__DBO.EMPLOYEES,CREATED_AT,timestamp_ntz,,,,1,The `created_at` column records the non-nullable timestamp indicating when an employee record was initially created in the system.,,BRONZE_ERP__DBO,EMPLOYEES,2026-04-13 11:59:38
9,BRONZE_ERP__DBO.EMPLOYEES,EMAIL,text(900),900,,,1,"The ""email"" column in the ""employees"" table stores the unique, non-null email address of each employee for contact purposes.",,BRONZE_ERP__DBO,EMPLOYEES,2026-04-13 11:59:38
10,BRONZE_ERP__DBO.EMPLOYEES,EMPLOYEE_ID,"number(38,0)",38,38,0,0,Unique identifier for each employee in the retail operations system.,Yes,BRONZE_ERP__DBO,EMPLOYEES,2026-04-13 11:59:38
11,BRONZE_ERP__DBO.EMPLOYEES,FIRST_NAME,text(256),256,,,1,"The ""first_name"" column in the ""employees"" table stores the non-nullable given name of an employee as a Unicode string.",,BRONZE_ERP__DBO,EMPLOYEES,2026-04-13 11:59:38
12,BRONZE_ERP__DBO.EMPLOYEES,HIRE_DATE,date,,,,1,"The `hire_date` column in the `employees` table stores the non-nullable date an employee was hired, used for tracking employment start dates.",,BRONZE_ERP__DBO,EMPLOYEES,2026-04-13 11:59:38
13,BRONZE_ERP__DBO.EMPLOYEES,LAST_NAME,text(256),256,,,1,"The ""last_name"" column in the ""employees"" table stores the non-nullable family name of an employee as a case-insensitive Unicode string.",,BRONZE_ERP__DBO,EMPLOYEES,2026-04-13 11:59:38
14,BRONZE_ERP__DBO.EMPLOYEES,ROLE,text(256),256,,,1,"Indicates the job position or function of an employee within the organization, stored as a non-nullable text value.",,BRONZE_ERP__DBO,EMPLOYEES,2026-04-13 11:59:38
